theme,quiz,answer
フェルマーの最終定理,問題：数百年にわたって未解決だったフェルマーの最終定理を1994年に証明したイギリスの数学者は誰でしょう？,アンドリュー・ワイルズ
カーボンニュートラル,問題：カーボンニュートラルを達成するためには、人間活動による二酸化炭素の排出量と何をバランスさせる必要がありますか？,二酸化炭素の吸収量
藤井聡太,問題：藤井聡太が初めてプロ入りした将棋の段位は何段でしょうか？,初段
灰原哀,問題：「名探偵コナン」のキャラクター、灰原哀の本名は何でしょうか？,宮野志保
徳川家康,問題：徳川家康が初めて江戸幕府の将軍に任命されたのは何年か？,1603年
フランス革命,問題：フランス革命、それは絶対王政を打倒し、近代民主主義の礎を築いた歴史的な出来事ですが、それが始まった年は何年でしょうか？,1789年
7,問題：エジプトのピラミッドが建設されたのは紀元前何世紀ですか？,紀元前26世紀
屋久島,問題：屋久島が位置する都道府県は何ですか？,鹿児島県
旭川市旭山動物園,,旭山動物園
サハラ砂漠,問題：世界最大のサハラ砂漠が位置する大陸は何でしょうか？,アフリカ
セブン-イレブン,問題：セブン-イレブンが最初に設立された国はどこでしょうか？,アメリカ
ホールインワン,問題：ゴルフで、初めての1打でボールがカップに入ることを何というでしょうか？,ホールインワン
ノストラダムス,問題：16世紀の占星術師ノストラダムスが予言を記したとされる書物の名前は何でしょう？,『センチュリエ』
自動販売機,問題：自動販売機が初めて導入された国はどこでしょうか？,アメリカ
ChatGPT,問題：ChatGPTはどのような目的で開発された人工知能ですか？,ChatGPTは、自然な人間のような会話を生成する目的で開発された人工知能です。
RRR (映画),問題：RRR映画の監督は誰でしょうか？,S.S.ラージャムリ
おにぎり,問題：おにぎりの具材としてよく使われ、日本の伝統的な保存食でもある、魚を塩漬けにした後、発酵・熟成させたものは何でしょう？,塩鮭
歯,問題：歯のエナメル質は、人体で最も硬い物質とされていますが、それは何の成分でできているでしょうか？,ハイドロキシアパタイト
乃木坂46,問題：乃木坂46のデビューシングルのタイトルは何ですか？,「ぐるぐるカーテン」
真珠,問題：真珠が形成される主な生物は何ですか？,真珠貝
