theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理を証明したのは誰でしょうか？,アンドリュー・ワイルズ
カーボンニュートラル,カーボンニュートラルを達成するためには、二酸化炭素の排出量と何をバランスさせる必要がありますか？,吸収量
藤井聡太,藤井聡太が初めてプロ入りした囲碁の段位は何段でしょうか？,四段
灰原哀,「名探偵コナン」の登場キャラクターで、本名は宮野志保、元黒の組織のメンバーであり、毒薬APTX4869を開発した科学者は誰でしょう？,灰原哀
徳川家康,徳川家康が初めて将軍に任命されたのは何時代ですか？,江戸時代
フランス革命,フランス革命が始まった年は何年ですか？,1789年
7,適切なクイズが生成できませんでした,
屋久島,屋久島が位置する日本の都道府県は何でしょう？,鹿児島県
旭川市旭山動物園,旭川市にある、四季折々の動物たちの生態を観察できる人気の動物園は何でしょう？,旭山動物園
サハラ砂漠,サハラ砂漠が位置する大陸は何でしょう？,アフリカ
セブン-イレブン,セブン-イレブンの親会社は何でしょうか？,セブン&アイ・ホールディングス
ホールインワン,ゴルフで、1打でボールがカップに入ることを何というか？,ホールインワン
ノストラダムス,ノストラダムスが生まれた国はどこでしょう？,フランス
自動販売機,「自動販売機」の英語表現は何でしょうか？,Vending Machine
ChatGPT,適切なクイズが生成できませんでした,
RRR (映画),適切なクイズが生成できませんでした,
おにぎり,おにぎりの具材としてよく使われ、日本の伝統的な保存食でもある、魚を塩漬けにしたものは何でしょう？,しゃけ
歯,適切なクイズが生成できませんでした,
乃木坂46,乃木坂46のデビューシングルのタイトルは何でしょう？,「ぐるぐるカーテン」
真珠,真珠が自然に形成される過程で、真珠貝が何を取り込んで真珠層を作り出すでしょうか？,砂粒
