theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理は何についての定理ですか？,"自然数の組 (x, y, z) について、xn + yn = zn となる自然数の組は存在しない。"
カーボンニュートラル,カーボンニュートラルとは何を意味するか？,二酸化炭素など温室効果ガスの排出量と吸収量を均衡させ、その排出量を「実質ゼロ」に抑える概念。
藤井聡太,藤井聡太がプロ入り前に所属していた研修会の名前は何でしょうか？,東海研修会
灰原哀,灰原哀の本名は何か？,宮野 志保
徳川家康,徳川家康の幼名は何か？,竹千代
フランス革命,フランス革命の目的は何でしたか？,ブルジョワ革命
7,テーマ:7に関する早押しクイズの問題文とその答えを作成してください。問題は1単語で答えることの可能な問題にしてください。ただし、答えは「,"」で始めてください。

問題：7の約数の和はいくつですか？
答え：8"
屋久島,屋久島の位置はどこですか？,鹿児島県の大隅半島佐多岬南南西約60kmの海上に位置する
旭川市旭山動物園,旭川市旭山動物園の通称は何ですか？,旭山動物園
サハラ砂漠,サハラ砂漠は世界で何番目に大きい砂漠か？,1
セブン-イレブン,セブン-イレブンの創業年はいつか？,1973年
ホールインワン,ホールインワンとは何を意味するか？,ゴルフ競技において1打目でカップにボールを入れること。
ノストラダムス,ノストラダムスの本名は何か？,ミシェル・ド・ノートルダム
自動販売機,自動販売機の特許を得た日本の人物は誰か？,小野秀三、俵谷高七
ChatGPT,ChatGPTの公開日はいつですか？,2022年11月30日
RRR (映画),この映画の監督は誰ですか？,S・S・ラージャマウリ
おにぎり,おにぎりの起源とされる弥生時代の遺跡で、握り飯状に固まった炭化米が発見された場所はどこか？,杉谷チャノバタケ遺跡
歯,歯の表面を覆う最も硬い物質は何でしょうか？,エナメル質
乃木坂46,乃木坂46は何年に結成されたか？,2011年
真珠,真珠は何から採れる宝石の一種であるか？,貝
