theme,quiz,answer
フェルマーの最終定理,数学界に衝撃を与えたフェルマーの最終定理を証明したのは、1994年にイギリスのどの数学者だったか？,アンドリュー・ワイルズ
カーボンニュートラル,「カーボンニュートラル」は、二酸化炭素の排出量と吸収量をどのようにすることを指す環境保護に関する重要な概念ですか？,二酸化炭素の排出量と吸収量を等しくする
藤井聡太,将棋の天才、藤井聡太が驚異的な若さでプロ入りした時の年齢は何歳だったでしょうか？,14歳
灰原哀,「名探偵コナン」のキャラクターで、毒薬を飲んで体が小さくなった本名を宮野志保という少女は誰でしょう？,灰原哀
徳川家康,江戸時代を開くきっかけとなった、徳川家康が初めて将軍に任命されたのは何年か？,1603年
フランス革命,ヨーロッパの歴史を大きく変えた、歴史的に重要なフランス革命が始まった年は何年ですか？,1789年
7,一週間の日数は何日ですか？,7
屋久島,屋久島が位置する日本の都道府県は何でしょう？,鹿児島県
旭川市旭山動物園,旭川市にある、北海道特有の四季折々の自然環境の中で、リアルな動物たちの生態を観察できる人気の動物園は何でしょう？,旭山動物園
サハラ砂漠,サハラ砂漠が地表積の面で世界で最も広い砂漠であるとされていますが、それは何番目に大きい砂漠なのでしょうか？,最大
セブン-イレブン,セブン-イレブンの親会社である、大手総合商社は何でしょうか？,伊藤忠商事
ホールインワン,ゴルフで、非常に難易度の高い1打でボールがカップに入ることを何というか？,ホールインワン
ノストラダムス,16世紀のフランスの占星術師ノストラダムスが予言を記したとされる書物の名前は何でしょう？,『センチュリエ』
自動販売機,自動販売機で最初に販売された商品は何でしょう？,ボトル入りの飲料水
ChatGPT,ChatGPTの開発元である組織の名前は何でしょうか？,OpenAI
RRR (映画),S.S.ラージャムーリ監督の「RRR」は、どの国の映画ですか？,インド
おにぎり,おにぎりの具材としてよく使われ、日本の伝統的な発酵食品で、特に夏に食べられることで知られるものは何でしょう？,梅干し
歯,大人の人間が通常持つ永久歯の数は何本でしょうか？,32本
乃木坂46,日本の人気アイドルグループ、乃木坂46の2012年にリリースされたデビューシングルのタイトルは何でしょう？,「ぐるぐるカーテン」
真珠,砂粒や小石が体内に入った際に、それを包み込む形で真珠が形成される海洋生物は何でしょう？,真珠貝
