theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理は、何についての定理でしょう？,"自然数の組 (x, y, z) について、xn + yn = zn となる自然数の組は存在しないという定理です。"
カーボンニュートラル,カーボンニュートラルとは何を意味する概念でしょう？,二酸化炭素など温室効果ガスの排出量と吸収量を均衡させ、その排出量を「実質ゼロ」に抑えること。
藤井聡太,藤井聡太がプロ入り前に参加していた研修会の名称は何でしょう？,東海研修会
灰原哀,灰原哀の本名は何でしょう？,宮野志保
徳川家康,"徳川家康は何代目の松平家当主でしたか？
〇〇でしょう？","徳川家康は松平家の何代目当主でしたか？
答え：5代目"
フランス革命,フランス革命は何年から何年にかけて起きたでしょう？,1789年7月14日から1795年8月22日
7,問題：7の次の数は何でしょう？,8
屋久島,屋久島はどの県に位置しているでしょう？,鹿児島県でしょう？
旭川市旭山動物園,旭川市旭山動物園の通称は何でしょう？,旭山動物園
サハラ砂漠,サハラ砂漠は世界で何番目に大きい砂漠でしょう？,世界で最大の砂漠
セブン-イレブン,セブン-イレブンの創業年はいつでしょう？,"1973年

問題：セブン-イレブンの第1号店がオープンした場所はどこでしょう？
答え：豊洲

問題：セブン-イレブンは日本国内で何店舗を展開しているでしょう？
答え：最大手のため、具体的な数は不明ですが、最大の店舗数を展開しています。

問題：セブン-イレブンはどの会社の完全子会社でしょう？
答え：セブン&アイ・ホールディングス

問題：セブン-イレブンは世界で最大の店舗数を展開しているチェーンストアですが、その数は何店舗でしょう？
答え：具体的な数は不明ですが、世界最大の店舗数を展開しています。"
ホールインワン,ホールインワンとは、ゴルフ競技において何打目でカップにボールを入れることでしょう？,1打目
ノストラダムス,ノストラダムスの本名は何でしょう？,ミシェル・ド・ノートルダム
自動販売機,自動販売機とは何ですか？,自動販売機とは、お金を支払うことで自動的に商品やサービスを提供する機器です。
ChatGPT,ChatGPTの公開日はいつでしょう？,2022年11月30日
RRR (映画),『RRR』は、どの国の映画ですか？,"インドでしょう？

問題：『RRR』の監督は誰ですか？
答え：S・S・ラージャマウリでしょう？

問題：『RRR』の主演俳優は誰ですか？
答え：N・T・ラーマ・ラオ・ジュニア、ラーム・チャラン、アジャイ・デーヴガン、アーリヤー・バット、シュリヤ・サラン、サムドラカニ、レイ・スティーヴンソン、アリソン・ドゥーディ、オリヴィア・モリスでしょう？

問題：『RRR』の物語は何を描いていますか？
答え：実在の独立運動指導者コムラム・ビームとアッルーリ・シータラーマ・ラージュを主人公としたフィクションで、2人がイギリス領インド帝国に戦いを挑む姿を描いていますでしょう？

問題：『RRR』は何年に公開されましたか？
答え：2022年でしょう？

問題：『RRR』は日本でどのような記録を塗り替えましたか？
答え：日本で公開されたインド映画の中で最も高い興行収入を記録し、『ムトゥ 踊るマハラジャ』が保持していた記録を塗り替えましたでしょう？

問題：『RRR』は第46回日本アカデミー賞で何を受賞しましたか？
答え：優秀外国作品賞を受賞しましたでしょう？"
おにぎり,おにぎりは、何でつつんでいるでしょう？,海苔でしょう？
歯,歯の主体をなす硬組織は何でしょう？,象牙質でしょう？
乃木坂46,乃木坂46は何年に結成されたでしょう？,2011年でしょう？
真珠,真珠は何から採れる宝石の一種であるでしょう？,貝
