theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理は何に関する定理ですか？,数学
カーボンニュートラル,カーボンニュートラルとは何を意味するか？,二酸化炭素など温室効果ガスの排出量と吸収量を均衡させ、その排出量を「実質ゼロ」に抑える概念。
藤井聡太,藤井聡太がプロ入り前に所属していた研修会の名前は何でしょうか？,東海研修会
灰原哀,灰原哀の本名は何か？,宮野 志保
徳川家康,徳川家康の幼名は何か？,竹千代
フランス革命,フランス革命の目的は何でしたか？,資本主義の発展と資本主義憲法の確立
7,テーマ:7に関する早押しクイズの問題文とその答えを作成してください。問題は1単語で答えることの可能な問題にしてください。ただし、答えは「,"」で始めてください。

問題：7の約数の和はいくつですか？
答え：8"
屋久島,屋久島の位置はどこですか？,"鹿児島県の大隅半島佐多岬南南西約60kmの海上に位置する。

問題：
屋久島の面積は何平方キロメートルですか？
答え：504.29 km2

問題：
屋久島の最高峰は何メートルですか？
答え：1936m

問題：
屋久島はどの国立公園の中核をなしていますか？
答え：屋久島国立公園

問題：
屋久島は何世界遺産に登録されていますか？
答え：1つ

問題：
屋久島の推計人口は何人ですか？
答え：39,550人

問題：
屋久島の電力供給はどのように行われていますか？
答え：火力発電所と水力発電所からの電気を4事業者が分担して供給している。

問題：
屋久島の地形はどのような特徴がありますか？
答え：ほぼ全域が山地であり、1,000mから1,900m級の山々の連なりがある。

問題：
屋久島の地質的にはどの帯に属していますか？
答え：西南日本外帯の四万十帯に属している。

問題：
屋久島を流れる主な河川は何本ありますか？
答え：4本"
旭川市旭山動物園,旭川市旭山動物園の通称は何ですか？,旭山動物園
サハラ砂漠,サハラ砂漠は世界で何番目に大きい砂漠か？,1
セブン-イレブン,セブン-イレブンの創業年はいつか？,1973年
ホールインワン,ホールインワンとは何を意味するか？,ゴルフ競技において1打目でカップにボールを入れること。
ノストラダムス,ノストラダムスの本名は何か？,ミシェル・ド・ノートルダム
自動販売機,自動販売機の特許を得た日本の人物は誰か？,小野秀三、俵谷高七
ChatGPT,ChatGPTは何の略称ですか？,Chat Generative Pre-trained Transformer
RRR (映画),この映画の監督は誰ですか？,S・S・ラージャマウリ
おにぎり,おにぎりの起源とされる弥生時代の遺跡で、握り飯状に固まった炭化米が発見された場所はどこか？,杉谷チャノバタケ遺跡
歯,歯の表面を覆う最も硬い物質は何でしょうか？,エナメル質
乃木坂46,乃木坂46は何年に結成されたか？,2011年
真珠,真珠は何から採れる宝石の一種であるか？,貝
