theme,quiz,answer
フェルマーの最終定理,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
カーボンニュートラル,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
藤井聡太,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
灰原哀,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
徳川家康,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
フランス革命,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
7,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
屋久島,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
旭川市旭山動物園,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
サハラ砂漠,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
セブン-イレブン,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
ホールインワン,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
ノストラダムス,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
自動販売機,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
ChatGPT,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
RRR (映画),This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
おにぎり,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
歯,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
乃木坂46,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
真珠,This is a chat model and not supported in the v1/completions endpoint. Did you mean to use v1/chat/completions?,エラーが発生しました
