theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理が完全に証明されたのは、フェルマーの死後何年後でしょうか？,330年
カーボンニュートラル,カーボンニュートラルの実現には、排出分の吸収、排出量の削減、排出量取引、の三つの手法がとられる。このうち、自らの責任と定めることが一般に合理的と認められる範囲の温室効果ガスの排出量を認識し、主体的にこれを削減する努力を行うとともに、削減が困難な部分の排出量について、炭素排出許可量を購入すること、または他の場所で排出削減・吸収を実現するプロジェクトや活動を実施することにより、その排出量の全部を埋め合わせることを指す類似語は何でしょう？,カーボン・オフセット
藤井聡太,藤井聡太が史上最年少で四段昇段(プロ入り)を果たした年は何年ですか？,2016年
灰原哀,灰原哀の本名は何でしょうか？,宮野 志保
徳川家康,徳川家康が最初に人質として送られた家は何氏でしょうか？,今川氏
フランス革命,フランス革命が始まった日付は何日でしょうか？,1789年7月14日
7,「七」の訓読みと音読みは何でしょうか？,なな、しち
屋久島,屋久島の面積は何km2でしょうか？,504.29 km2
旭川市旭山動物園,旭川市旭山動物園が日本国内で初めて飼育下での自然繁殖に成功した動物の一つは何でしょう？,ホッキョクグマ
サハラ砂漠,サハラ砂漠はアフリカ大陸の何分の一近くを占めているでしょうか？,3分の1
セブン-イレブン,セブン-イレブンが日本で最初に出店したのは何年でしょうか？,1974年
ホールインワン,ゴルフ競技において1打目でカップにボールを入れることを何と呼ぶでしょうか？,ホールインワン
ノストラダムス,ノストラダムスが生まれた年は何年ですか？,1503年
自動販売機,自動販売機の世界最古の記録が残されているのは何を販売する機械でしょうか？,聖水販売機
ChatGPT,ChatGPTが公開されたのは何年何月ですか？,2022年11月
RRR (映画),『RRR』の監督は誰でしょうか？,S・S・ラージャマウリ
おにぎり,おにぎりの形状として一般的なものは三角、俵、何形？,円柱形
歯,ヒトの歯の表面を覆う、体の中で最も硬い組織は何でしょう？,エナメル質
乃木坂46,乃木坂46が結成されたのは何年ですか？,2011年
真珠,真珠が生成される過程で形成される、カルシウムの結晶と有機質（主にタンパク質コンキオリン）が交互に積層した層を何と呼ぶでしょう？,真珠層
