theme,quiz,answer
フェルマーの最終定理,問題：1994年にイギリスの数学者が数百年にわたって未解決だったフェルマーの最終定理を証明しました。その数学者の名前は何でしょうか？,アンドリュー・ワイルズ
カーボンニュートラル,カーボンニュートラルを達成するためには、二酸化炭素の排出量と何をバランスさせる必要がありますか？,吸収量
藤井聡太,問題：藤井聡太が最年少で達成した将棋のランクは何でしょうか？,七段
灰原哀,灰原哀が使用する小型の発明品で、人間の記憶を一時的に消すことができるものは何でしょう？,忘却の薬
徳川家康,問題：江戸時代を開くきっかけとなった徳川家康が初めて将軍に任命されたのは何年か？,1603年
フランス革命,問題：人権の普遍的な価値を世界に広めた歴史的に重要なフランス革命が始まった年は何年ですか？,1789年
7,「7つの大陸の中で、面積が最も大きいのはどれでしょうか？」,アジア
屋久島,屋久島が位置する日本の都道府県は何でしょう？,"鹿児島県

問題：屋久島に生息する、日本最大のシカである動物の名前は何でしょう？
答え：ニホンジカ

問題：屋久島にある、世界自然遺産にも登録されている森林の名前は何でしょう？
答え：白谷雲水峡

問題：屋久島の最高峰である山の名前は何でしょう？
答え：宮之浦岳

問題：屋久島で見ることができる、日本最古の樹木とされるスギの名前は何でしょう？
答え：縄文杉"
旭川市旭山動物園,問題：旭川市にある、特に冬の動物たちの生態が見られる、日本国内外から多くの観光客が訪れる人気の動物園は何でしょう？,旭山動物園
サハラ砂漠,問題：世界最大の砂漠であるサハラ砂漠が位置する大陸は何でしょうか？,アフリカ
セブン-イレブン,セブン-イレブンの親会社である、日本の大手総合小売業者は何でしょう？,"セブン&アイ・ホールディングス

問題：
セブン-イレブンが最初に設立された国はどこでしょう？
答え：アメリカ

問題：
セブン-イレブンのオリジナル商品で、冷凍食品の中でも特に人気が高い商品は何でしょう？
答え：チキン南蛮

問題：
セブン-イレブンが日本で初めて導入した、24時間営業を可能にしたシステムは何でしょう？
答え：POSシステム

問題：
セブン-イレブンの店舗数が最も多い国はどこでしょう？
答え：日本"
ホールインワン,"問題：ゴルフで、1打でボールがカップに入る、非常に難易度の高い技を何というでしょうか？この技は、平均的なアマチュアゴルファーにとっては約12,500回に1回の確率でしか起こらないと言われています。",ホールインワン
ノストラダムス,問題：16世紀のフランスの占星術師ノストラダムスが予言を記した最も有名な書物の名前は何でしょう？,センチュリエ
自動販売機,問題：最初にコインを使って商品を購入できるようにした現代の自動販売機の発祥の地はどこでしょうか？,アメリカ
ChatGPT,ChatGPTの開発元である組織の名前は何でしょうか？,OpenAI
RRR (映画),"""RRR""映画の監督は誰でしょうか？",S.S. Rajamouli
おにぎり,問題：おにぎりの具材としてよく使われ、日本の伝統的な保存食でもある、魚を塩漬けにして発酵・熟成させることで作られる食品は何でしょう？,塩鮭
歯,大人の口の中に通常何本の歯があるか？,"32本

問題：
乳歯は通常何本あるか？
答え：20本

問題：
歯の一部で、歯の根を覆っている硬い組織は何か？
答え：セメント質

問題：
歯を支える骨を何というか？
答え：顎骨

問題：
歯の表面を覆っていて、最も硬い組織は何か？
答え：エナメル質

問題：
歯の中心部分で、血管や神経が通っている部分は何と呼ばれるか？
答え：歯髄

問題：
歯周病の一種で、歯肉の炎症を起こす病気は何か？
答え：歯肉炎

問題：
歯を白く見せるための美容処置を何というか？
答え：ホワイトニング

問題：
虫歯の原因となる主な細菌は何か？
答え：ミュータンス菌

問題：
歯の表面に付着し、取り除かないと虫歯や歯周病の原因となるものは何か？
答え：プラーク"
乃木坂46,問題：日本の女性アイドルグループ、乃木坂46のデビューシングルのタイトルは何でしょう？,「ぐるぐるカーテン」
真珠,問題：海洋生物の中で、真珠が形成される主な生物は何でしょうか？,真珠貝
