theme,quiz,answer
フェルマーの最終定理,問題：数学史上最も難解とされ、フェルマー自身が証明を書かずに「真に驚くべき証明を見つけた」とだけ述べた後、約350年間未解決のままであったフェルマーの最終定理を証明したのは誰でしょうか？,アンドリュー・ワイルズ
カーボンニュートラル,問題：カーボンニュートラルを達成するためには、二酸化炭素の排出量と、自然環境や人工的な手段による二酸化炭素の何をバランスさせる必要がありますか？,吸収量
藤井聡太,問題：藤井聡太が最年少で達成した将棋の何階級のタイトルは何でしょうか？また、彼は何歳でその記録を達成しましたか？,答え：一階級、竜王。彼は17歳でその記録を達成しました。
灰原哀,問題：エッフェル塔の高さは何メートルですか？,330メートル
徳川家康,問題：戦国時代を経て平和な時代を迎えるために、徳川家康が初めて江戸幕府の将軍に任命されたのは何年か？,1603年
フランス革命,問題：フランス革命が始まった年は何年ですか？この革命は絶対王政を廃止し、市民社会の台頭を促しました。,1789年
7,問題：日本の首都は何でしょう？,東京
屋久島,問題：日本の首都は何でしょう？ なお、この都市は世界で最も人口が多い都市の一つです。,東京
旭川市旭山動物園,,旭山動物園
サハラ砂漠,問題：サハラ砂漠が面積において最も広い範囲を占めている大陸とは何でしょうか？また、サハラ砂漠は世界で何番目に大きい砂漠でしょうか？,アフリカ、世界で3番目に大きい砂漠です。
セブン-イレブン,問題：日本の首都は何でしょう？,東京
ホールインワン,問題：ゴルフで、ティーショットから1打でボールをカップに入れることは非常に難しく、その確率は約1万2千分の1と言われています。これを何というでしょう？,ホールインワン
ノストラダムス,問題：16世紀のノストラダムスが予言を記したとされる書物の正式な名前は何でしょう？また、その予言はどのような形式で書かれていたでしょうか？,『ミシェル・ノストラダムスの予言集』または『センチュリーズ』で、予言は四行詩形式で書かれていました。
自動販売機,問題：現代のコイン式自動販売機の発祥の地はどこでしょう？また、最初の自動販売機が販売していた商品は何でしょう？,アメリカ、ガム
ChatGPT,問題：アインシュタインが提唱した相対性理論とは何ですか？,アインシュタインが提唱した相対性理論とは、物理学の理論で、時間や空間の概念を一新したものです。特殊相対性理論と一般相対性理論の二つがあり、特殊相対性理論は光速が一定であるという原理に基づき、一般相対性理論は重力と空間時間の曲率を結びつける理論です。
RRR (映画),問題：江戸時代の幕府の最高位の役職は何でしたか？,将軍
おにぎり,問題：おにぎりの具材としてよく使われる、塩で味付けされた鮭のことを何というでしょう？,塩鮭
歯,問題：日本の首都は何でしょうか？,東京
乃木坂46,問題：乃木坂46の2012年にリリースされたデビューシングルのタイトルは何でしょう？,「ぐるぐるカーテン」。この曲はオリコンチャートで4位にランクインし、乃木坂46の人気を高めるきっかけとなりました。
真珠,問題：海洋で真珠が形成される過程は非常に時間がかかります。その主な生物は何でしょう？,真珠貝
