theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理が完全に証明されたのは、フェルマーの死後何年後でしょうか？,330年
カーボンニュートラル,カーボンニュートラルとは、二酸化炭素など温室効果ガスの何と何を均衡させ、その排出量を「実質ゼロ」に抑える概念でしょうか？,排出量と吸収量
藤井聡太,藤井聡太が史上最年少で四段昇段(プロ入り)を果たした年は何年でしょうか？,2016年
灰原哀,灰原哀の本名は何でしょうか？,宮野 志保
徳川家康,徳川家康が最初に改名した際の名前は何でしょう？,元信
フランス革命,フランス革命が始まった日付は何日でしょうか？,1789年7月14日
7,「七」の訓読みと音読みは何でしょうか？,なな、しち
屋久島,屋久島の面積は何km2でしょうか？,504.29 km2
旭川市旭山動物園,旭川市旭山動物園が日本国内で初めて飼育下での自然繁殖に成功した動物の一つは何でしょう？,ホッキョクグマ
サハラ砂漠,サハラ砂漠はアフリカ大陸の何分の一近くを占めているでしょうか？,3分の1
セブン-イレブン,セブン-イレブンの日本での第1号店が出店されたのは何年でしょうか？,1974年
ホールインワン,ゴルフ競技において、1打目でカップにボールを入れることを何と呼ぶでしょう？,ホールインワン
ノストラダムス,ノストラダムスが生まれた年は何年ですか？,1503年
自動販売機,自動販売機の世界最古の記録が残されているのは何を販売する機械でしょうか？,聖水販売機
ChatGPT,ChatGPTが公開されたのは何年何月ですか？,2022年11月
RRR (映画),『RRR』の物語は、実在の独立運動指導者の2人を主人公としたフィクションで、彼らが何に戦いを挑む姿を描いているでしょうか？,イギリス領インド帝国
おにぎり,「おにぎりと思われる炭化した米粒の塊が最初に出土したのはどの遺跡か？」,「杉谷チャノバタケ遺跡」
歯,ヒトの歯の主体をなす硬組織で、約70%がヒドロキシアパタイトを主成分とし、20%が有機物、10%が水からできているものは何でしょう？,象牙質
乃木坂46,乃木坂46が結成されたのは何年ですか？,2011年
真珠,真珠が生成される過程で形成される、カルシウムの結晶と有機質が交互に積層した層を何と呼ぶでしょう？,真珠層
