theme,quiz,answer
フェルマーの最終定理,"350年以上も解明が試みられ、""最も有名な未解決問題""とも称されたフェルマーの最終定理を証明したイギリスの数学者は誰でしょうか？",アンドリュー・ワイルズ
カーボンニュートラル,「カーボンニュートラル」は、人間の活動による二酸化炭素の排出と、自然界や人工的な手段による二酸化炭素の吸収をどのような状態に保つことを指す言葉ですか？,排出と吸収のバランス
藤井聡太,若干14歳でプロ入りした藤井聡太が所属する将棋の団体は何でしょうか？,日本将棋連盟
灰原哀,「名探偵コナン」の登場キャラクターで、毒薬を飲んで体が小さくなった本名を宮野志保という少女は誰でしょう？,灰原哀
徳川家康,徳川家康が初めて江戸幕府の将軍に任命されたのは何年か？,1603年
フランス革命,絶対王政を廃止し、民主主義の道を開いた歴史的に重要なフランス革命が始まった年は何年ですか？,1789年
7,7つの大陸の中で、面積が最も大きいのはどれでしょうか？,アジア
屋久島,屋久島が位置する日本の都道府県は何でしょう？,鹿児島県
旭川市旭山動物園,,旭山動物園
サハラ砂漠,アフリカ大陸に広がるサハラ砂漠は、面積において世界で何番目に大きい砂漠ですか？,1番目
セブン-イレブン,セブン-イレブンの親会社である、大手総合商社は何でしょうか？,伊藤忠商事
ホールインワン,ゴルフで、1打でボールがカップに入る、非常に難易度の高い珍しい事態を何というか？,ホールインワン
ノストラダムス,16世紀フランスの占星術師ノストラダムスが予言をまとめた著書の名前は何でしょうか？,『センチュリエ』
自動販売機,現代のコイン式自動販売機の発祥の地はどこでしょうか？,アメリカ
ChatGPT,OpenAIによって開発された自然言語処理の人工知能、「ChatGPT」は何の略語でしょうか？,Chat Generative Pre-training Transformer
RRR (映画),「バーフバリ」シリーズでも知られる、映画「RRR」を手掛けたインドの映画監督は誰でしょうか？,"S.S.ラージャムーリ（""バーフバリ""シリーズの監督）"
おにぎり,おにぎりの具材としてよく使われ、日本の伝統的な保存食で、魚を発酵させ、塩味が特徴的なものは何でしょう？,塩鮭
歯,大人の人間が通常持つ永久歯の数は何本でしょうか？,32本
乃木坂46,2012年にデビューした日本の女性アイドルグループ、乃木坂46のデビューシングルのタイトルは何でしょうか？,「ぐるぐるカーテン」
真珠,海洋生物の中で、真珠が形成される過程は非常に長い時間がかかりますが、その主な生物は何でしょう？,真珠貝
