theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理は、何年に完全に証明されたか？,1995年
カーボンニュートラル,カーボンニュートラルとは何でしょう？,炭素中立
藤井聡太,藤井聡太がプロ入り前の棋歴で史上最年少で何段に昇段したかでしょう？,三段
灰原哀,灰原哀の名前の由来は何でしょう？,宮野 志保（みやの しほ）
徳川家康,家康は何という諱を受けて名乗りましたか？,元康
フランス革命,フランス革命で倒された旧体制は何と呼ばれていますか？,アンシャン・レジーム
7,「七」の訓読みは何でしょう？,「なな」
屋久島,屋久島の島々を総称して何と呼ばれているでしょう？,大隅諸島
旭川市旭山動物園,旭川市旭山動物園の主なテーマは何でしょう？,「伝えるのは、命」
サハラ砂漠,サハラ砂漠の名称の由来となっている言葉の意味は何でしょう？,砂漠
セブン-イレブン,株式会社セブン-イレブン・ジャパンは1974年5月15日にどこに出店したのでしょう？,東京都江東区豊洲
ホールインワン,ノーマン・マンリーはホールインワンを何回達成したか？,59回
ノストラダムス,ノストラダムスの名前の由来は何でしょう？,祖父の姓であるノートルダムをラテン語風に綴ったものである。
自動販売機,自動販売機の原点となる装置は、何と呼ばれているでしょう？,聖水販売機
ChatGPT,ChatGPTの技術の基礎となるのは何でしょう？,深層学習
RRR (映画),『RRR』は、何年にインドで公開された映画でしょう？,2022年
おにぎり,杉谷チャノバタケ遺跡出土で発見された炭化米を何と呼ぶか？,粽状炭化米塊
歯,サメ類の歯は何列にも並んでおり、欠けるとすぐさま次の列から補充されることができると言われていますが、それを何と言うのでしょう？,多生歯性
乃木坂46,乃木坂46の1stシングルのカップリング曲は何曲でしょう？,『会いたかったかもしれない』
真珠,真珠を作るために必要な素材は何でしょう？,細胞分裂した外套膜とカルシウムの結晶（アラレ石）と有機質（主にタンパク質コンキオリン）
