theme,quiz,answer
フェルマーの最終定理,フェルマーの最終定理は、何を証明したものでしょう？,"3以上の自然数nについて、xn + yn = znとなる自然数の組(x,y,z)は存在しないことを証明したものです。"
カーボンニュートラル,カーボンニュートラルとは何でしょう？,炭素中立
藤井聡太,藤井聡太が史上最年少で四段昇段を果たしたのはいつでしょう？,2016年
灰原哀,灰原哀の本名は何でしょう？,宮野志保
徳川家康,家康の豊臣政権下で最大の領地を得る前の名は何でしょう？,元康
フランス革命,フランス革命で廃止された減免税特権はなんでしょう？,宮廷貴族の特権
7,「七」を訓読みで表すと何でしょう？,なな
屋久島,屋久島の最高峰は何メートルでしょう？,1936m
旭川市旭山動物園,「旭山動物園」は何県にありますか？,北海道
サハラ砂漠,サハラ砂漠の固有名詞は何でしょう？,アッ＝サハラーゥ・ル＝クブラー
セブン-イレブン,最初に売れた商品は何でしょう？,サングラス
ホールインワン,ノーマン・マンリーが記録した、ホールインワンの回数は何回でしょう？,59回
ノストラダムス,ノストラダムスの父方の先祖が善良王ルネに仕えた医師・占星術師だという説は、何である？,誇張
自動販売機,古代エジプトにおいて最初に考案された自動販売機は何を販売していたでしょう？,聖水
ChatGPT,ChatGPTは、OpenAIが2022年11月に公開した何というチャットボットでしょう？,人工知能チャットボット
RRR (映画),インド映画『RRR』のストーリーは何世紀を舞台にしているでしょう？,20世紀
おにぎり,杉谷チャノバタケ遺跡から出土したものは何でしょう？,粽状炭化米塊
歯,ヒトの歯は何組ありますか？,乳歯と永久歯の2組です。
乃木坂46,乃木坂46のプロデューサーは誰でしょう？,秋元康
真珠,日本で最も多く持つジュエリーと推測されているものは何でしょう？,真珠
